1,Billie Eilish,4265
2,Ed Sheeran,3476
3,Tones and I,2969
4,Post Malone,2717
5,Lewis Capaldi,2631
6,Justin Bieber,2509
7,Camila Cabello,2243
8,Harry Styles,2130
9,Travis Scott,1887
10,Maroon 5,1819
11,Coldplay,1792
12,The Weeknd,1785
13,J Balvin,1602
14,Dua Lipa,1504
15,Shawn Mendes,1332
16,Taylor Swift,1287
17,Roddy Ricch,1207
18,Lady Gaga,1203
19,JACKBOYS,1186
20,DaBaby,1164
21,Juice WRLD,1128
22,Bad Bunny,1097
23,Ariana Grande,1094
24,Arizona Zervas,1075
25,Queen,1067
26,Dalex,1044
27,Sech,1037
28,Adele,966
29,Stormzy,964
30,Anuel AA,871
31,Daddy Yankee,859
32,The Black Eyed Peas,856
33,Ava Max,842
34,KAROL G,833
35,Trevor Daniel,829
36,Lil Nas X,826
37,Regard,826
38,Selena Gomez,822
39,Khalid,812
40,Meduza,806
41,Ozuna,800
42,Bradley Cooper,793
43,Lizzo,782
44,Imagine Dragons,761
45,Tyga,712
46,Idina Menzel,709
47,ROSALÍA,661
48,Drake,646
49,Goodboys,646
50,Rauw Alejandro,625
51,Farruko,616
52,Lauv,590
53,Sam Smith,586
54,Apache 207,578
55,Alan Walker,576
56,Lunay,549
57,Justin Quiles,541
58,Don Toliver,538
59,tha Supreme,522
60,Young Thug,521
61,One Direction,521
62,Kygo,516
63,Bruno Mars,510
64,Lenny Tavárez,504
65,Red Velvet,493
66,Official髭男dism,491
67,Jonas Brothers,480
68,Mariah Carey,479
69,Lana Del Rey,474
70,ABBA,472
71,Dan + Shay,469
72,The Chainsmokers,468
73,Nicky Jam,462
74,Whitney Houston,462
75,blackbear,459
76,Halsey,456
77,David Guetta,454
78,Burna Boy,450
79,Kabza De Small,445
80,群星,442
81,Becky Hill,442
82,DJ Maphorisa,437
83,Camilo,422
84,Lil Baby,418
85,Myke Towers,418
86,Angèle,412
87,P!nk,404
88,Maluma,398
89,Tanishk Bagchi,396
90,Aya Nakamura,392
91,BTS,390
92,Michael Bublé,388
93,Jhay Cortez,384
94,G.E.M. 鄧紫棋,382
95,SAINt JHN,381
96,AURORA,379
97,Cardi B,371
98,Capital Bra,370
99,Dermot Kennedy,365
100,Pyhimys,364
101,Sia,363
102,Billy Ray Cyrus,359
103,RAF Camora,356
104,SHAED,355
105,The Beatles,354
106,Pink Floyd,353
107,Zivert,352
108,Marília Mendonça,351
109,Marracash,350
110,King Gnu,349
111,Ninho,348
112,BLACKPINK,348
113,Marshmello,347
114,4Keus,340
115,Linda Ronstadt,337
116,Feid,337
117,Rich Music LTD,334
118,Beyoncé,331
119,Benny Jamz,331
120,Daft Punk,328
121,YoungBoy Never Broke Again,326
122,Heuss L'enfoiré,326
123,Rihanna,325
124,Tainy,324
125,A. R. Rahman,323
126,Nicki Minaj,320
127,Kanye West,316
128,Samra,314
129,Freya Ridings,312
130,ZAYN,309
131,David Bisbal,309
132,Vitaa,307
133,Anitta,304
134,YNW Melly,303
135,五月天,298
136,Los Ángeles Azules,296
137,Arijit Singh,292
138,Ultimo,292
139,JP Saxe,292
140,Скриптонит,292
141,Darell,289
142,JUL,285
143,Lukas Graham,280
144,Pedro Capó,280
145,Arcangel,279
146,Chris Brown,271
147,Riton,269
148,Swae Lee,264
149,Doja Cat,264
150,Niska,263
151,Calvin Harris,260
152,Avicii,260
153,Six60,257
154,Benjamin Hav,256
155,Luke Combs,256
156,Wham!,256
157,Natti Natasha,256
158,Slimane,254
159,Major Lazer,252
160,G.E.M.,251
161,Dadju,249
162,Eminem,248
163,Zion,247
164,Nimo,247
165,Guns N' Roses,245
166,Gradur,245
167,Katy Perry,244
168,米津玄師,242
169,IU,237
170,Neha Kakkar,236
171,Mustard,235
172,DJ Snake,234
173,Lenny Tavarez,233
174,Gusttavo Lima,231
175,Rammstein,229
176,Dimelo Flow,227
177,Reik,227
178,Oliver Heldens,227
179,Ezhel,226
180,The Cratez,226
181,Xiao Zhan,225
182,Michael Jackson,225
183,Mabel,224
184,Kina,223
185,XXXTENTACION,219
186,Snelle,218
187,Christian Nodal,218
188,LiSA,215
189,Bob Marley,215
190,RIN,214
191,Ellie Goulding,212
192,Lil Uzi Vert,210
193,Yi Bo,209
194,Sagopa Kajmer,208
195,Niall Horan,207
196,Y2K,206
197,EXO,203
198,Arcángel,203
199,Henrique & Juliano,202
200,Ali Gatie,202
201,El Alfa,202
202,Panic! At the Disco,202
203,Armin van Buuren,201
204,Artisti Vari,201
205,Zé Neto,198
206,Cristiano,198
207,Hillsong Worship,196
208,Fred De Palma,195
209,Martin Garrix,193
210,Sam Feldt,192
211,Mark Forster,192
212,5 Seconds of Summer,191
213,Elton John,189
214,Sarah Connor,188
215,Summer Walker,187
216,Jorge & Mateus,185
217,Multi-interprètes,184
218,BENEE,184
219,Die drei ???,182
220,Marco Borsato,181
221,Ufo361,181
222,Bastille,181
223,Dean Lewis,180
224,Lauren Daigle,180
225,Soprano,180
226,JME,180
227,Lil Tecca,179
228,Tungevaag,178
229,RADWIMPS,177
230,D-Block Europe,175
231,Paulo Londra,175
232,Maître Gims,174
233,Metallica,173
234,George Ezra,172
235,Céline Dion,172
236,Normani,172
237,Andrew Lloyd Webber,172
238,Fleetwood Mac,172
239,あいみょん,171
240,Piso 21,171
241,Loredana,171
242,Aitana,169
243,Bruce Springsteen,166
244,Gilli,166
245,Melim,165
246,Trippie Redd,164
247,Beret,163
248,Dire Straits,161
249,Gambi,160
250,Sting,160
251,Hamza,159
252,Sheck Wes,159
253,JONY,158
254,Branco,158
255,嵐,158
256,David Parry,157
257,Maes,155
258,Tiësto,154
259,Anirudh Ravichander,153
260,Pedro Sampaio,153
261,Einstein Baby Lullaby Academy,153
262,Frank Ocean,152
263,Pritam,152
264,J. Cole,152
265,J×Takanori Nishikawa,151
266,LANY,151
267,Lalo Ebratt,150
268,London Philharmonic Orchestra,149
269,Gunna,149
270,Hailee Steinfeld,149
271,Asti,149
272,Rod Wave,148
273,Elvis Presley,148
274,Dayvi,148
275,TINI,148
276,A Boogie wit da Hoodie,148
277,Grupo Firme,148
278,Julia Michaels,147
279,Morat,147
280,Freek,146
281,Suzan,146
282,Jamaika,146
283,Danny Vera,145
284,AC/DC,145
285,Samthing Soweto,145
286,Evan Rachel Wood,145
287,Wisin,144
288,Westlife,144
289,Ant Saunders,144
290,Rocco Hunt,144
291,bbno$,144
292,The Script,143
293,Luis Miguel,143
294,Yasin,140
295,TWICE,140
296,SCH,140
297,Ben,139
298,Danna Paola,139
299,Romeo Santos,139
300,Leonard Cohen,139
301,Endor,139
302,Kerstin Ott,138
303,Noah Cyrus,138
304,Sido,138
305,Blanco Brown,138
306,K-391,138
307,Badshah,138
308,方皓玟,137
309,LINKIN PARK,137
310,Lil Tjay,137
311,Artik,137
312,Luciano,137
313,Salmo,135
314,ONE OK ROCK,135
315,Sunday Service Choir,135
316,周杰倫,134
317,Dominic Fike,133
318,Tiziano Ferro,133
319,Sfera Ebbasta,133
320,Omar Montes,133
321,Cazzu,132
322,Navai,132
323,PNL,132
324,Vula,131
325,Bad Gyal,131
326,Dave,131
327,KAYTRANADA,130
328,BROCKHAMPTON,130
329,M. Pokora,129
330,LOBODA,129
331,Bausa,128
332,HammAli,127
333,Snow,127
334,LEA,126
335,ARASHI,126
336,Nirvana,126
337,Mau y Ricky,126
338,Charlie Puth,125
339,Dynoro,124
340,John Legend,124
341,Bedoes,123
342,Emma Heesters,123
343,Bryant Myers,123
344,The Minds Of 99,122
345,Ludmilla,122
346,Aitch,122
347,Shiva,120
348,周柏豪,120
349,Popcaan,119
350,Fede,119
351,Benji,119
352,Vishal-Shekhar,119
353,謝安琪,119
354,Nekfeu,118
355,Jay Chou,118
356,Kane Brown,117
357,Arctic Monkeys,117
358,菅田 将暉,117
359,肖戰,117
360,El Guincho,116
361,"Cast Of The Motion Picture ""Cats""",116
362,Blake Shelton,116
363,Lexa,116
364,Pentatonix,116
365,Zeynep Bastık,116
366,Ginette Reno,116
367,Manuel Carrasco,115
368,Marc Anthony,115
369,MORGENSHTERN,114
370,Jerome,114
371,Muse,113
372,Capo Plaza,113
373,VIZE,113
