1,Paulo Londra - Adan y Eva,61,25,1,(x8),"3,139,668","73,658,749"
2,Danny Ocean - Me Rehúso,132,34,1,(x2),"1,429,106","73,212,216"
3,Ed Sheeran - Shape of You,145,29,2,(x6),"1,452,368","68,659,813"
4,Pedro Capó - Calma - Remix,61,20,1,(x6),"3,185,524","60,860,522"
5,Natti Natasha - Criminal,85,25,1,(x9),"1,999,124","60,330,971"
6,Luis Fonsi - Despacito (Featuring Daddy Yankee),85,24,1,(x13),"2,990,395","59,333,373"
7,Becky G - Cuando Te Besé,74,24,1,(x9),"1,879,272","58,415,610"
8,Maluma - Felices los 4,93,24,1,(x9),"2,072,540","55,442,271"
9,Daddy Yankee - Con Calma,49,20,1,(x7),"2,751,030","52,780,495"
10,Dalex - Pa Mí - Remix,47,19,1,(x2),"2,340,879","51,054,061"
11,Nio Garcia - Te Boté - Remix,68,24,1,(x10),"1,875,743","49,924,063"
12,Zion & Lennox - Otra vez,115,31,2,(x4),"883,967","49,011,667"
13,Wisin - Escápate Conmigo,94,24,4,,"1,096,295","48,679,488"
14,Paulo Londra - Tal Vez,40,19,1,(x3),"2,157,577","48,362,222"
15,Anuel Aa - China,24,24,1,(x4),"3,188,170","46,630,921"
16,Piso 21 - Déjala que vuelva,85,22,3,(x1),"1,528,500","46,504,457"
17,Becky G - Sin Pijama,74,25,1,(x2),"1,467,736","46,337,707"
18,Mau y Ricky - Desconocidos,63,12,3,(x1),"1,474,768","45,772,752"
19,Ozuna - Se Preparó,77,21,1,(x1),"1,535,905","45,681,074"
20,CNCO - Reggaetón Lento (Bailemos),94,25,1,(x1),"1,403,985","45,366,335"
21,Reik - Me Niego,73,22,2,(x4),"1,514,974","44,882,139"
22,Sebastian Yatra - Ya No Tiene Novio,73,17,4,,"1,412,892","44,174,990"
23,Sech - Otro Trago,36,14,1,(x10),"3,172,598","44,039,376"
24,Ozuna - Vaina Loca,65,23,2,(x5),"1,531,525","43,739,502"
25,Becky G - Mayores,78,20,3,(x6),"1,346,850","41,819,013"
26,Maluma - Corazón,68,16,1,(x6),"2,126,666","41,659,356"
27,DJ Snake - Taki Taki,45,18,1,(x4),"2,265,907","41,465,445"
28,Anuel Aa - Secreto,51,15,2,(x2),"1,987,995","41,127,951"
29,Chris Jeday - Ahora Dice,66,20,3,(x7),"1,236,683","40,725,250"
30,Damas Gratis - Me Vas a Extrañar - En Vivo,69,14,4,,"1,491,397","40,536,774"
31,Bad Bunny - Callaita,31,17,2,(x3),"1,937,423","40,457,121"
32,ROSALÍA - Con Altura,40,15,5,,"1,514,583","40,227,127"
33,Sebastian Yatra - Traicionera,109,17,4,,"879,542","40,037,092"
34,Luis Fonsi - Échame La Culpa,70,15,2,(x4),"1,937,750","39,628,386"
35,Bad Bunny - MIA,52,19,2,(x3),"1,686,746","39,520,364"
36,Damas Gratis - No Te Creas Tan Importante - En Vivo,92,1,10,,"1,057,240","39,355,659"
37,Wolfine - Bella,66,17,1,(x1),"2,045,440","39,031,120"
38,Lunay - Soltera - Remix,30,14,2,(x4),"2,105,079","39,005,961"
39,Shakira - Chantaje,75,24,1,(x6),"1,476,623","38,653,551"
40,Maluma - Borro Cassette,141,24,3,(x7),"528,000","37,715,826"
41,Nicky Jam - El Amante,68,22,2,(x1),"1,281,575","37,095,738"
42,Ricky Martin - Vente Pa' Ca,78,21,1,(x9),"1,159,619","36,944,506"
43,Duki - Goteo,22,17,1,(x5),"2,630,439","36,630,003"
44,J Balvin - Mi Gente,57,16,1,(x8),"1,604,664","36,458,868"
45,Jhay Cortez - No Me Conoce - Remix,33,18,5,,"1,466,613","36,226,864"
46,Nicky Jam - X,56,18,1,(x7),"2,253,088","36,109,787"
47,Bad Bunny - Sensualidad,54,14,1,(x3),"1,749,760","35,992,186"
48,Duki - She Don't Give a FO,82,8,3,(x1),"1,407,815","35,668,446"
49,Duki - Sin Culpa,54,13,3,(x1),"1,529,978","35,623,833"
50,Piso 21 - Te Amo,73,17,3,(x2),"1,315,333","35,554,946"
51,Nacho - Báilame - Remix,57,13,4,,"1,265,347","35,525,572"
52,J Balvin - Bonita,57,19,3,(x4),"1,258,936","35,447,055"
53,Daddy Yankee - Dura,59,15,1,(x4),"2,521,617","35,295,362"
54,CNCO - Hey DJ,64,16,3,(x2),"1,115,620","35,142,697"
55,Piso 21 - Me Llamas,81,9,8,,"786,710","34,763,705"
56,Daddy Yankee - La Rompe Corazones,72,11,5,,"947,788","34,602,486"
57,Carlos Vives - Robarte un Beso,93,3,9,,"927,044","34,586,303"
58,Paulo Londra - Chica Paranormal,63,10,3,(x2),"1,417,039","34,493,615"
59,J Balvin - No Es Justo,62,16,5,,"1,178,176","33,967,117"
60,Rombai - Cuando Se Pone a Bailar,74,17,3,(x2),"1,134,836","33,885,199"
61,Chino & Nacho - Andas En Mi Cabeza,104,28,5,,"626,939","33,672,347"
62,Alex Sensation - Que Va,60,10,5,,"1,217,653","33,256,051"
63,Paulo Londra - Nena Maldicion,45,20,5,,"1,239,810","33,120,845"
64,Gustavo Cerati - Crimen,270,1,4,,"259,780","32,854,171"
65,Sebastian Yatra - Un Año,50,9,6,,"1,189,593","32,577,346"
66,Rombai - Me Voy,58,10,7,,"1,326,154","31,876,700"
67,Nicky Jam - Te Robaré,41,4,9,,"1,143,443","31,849,927"
68,Daddy Yankee - Adictiva,52,12,4,,"1,431,094","31,730,915"
69,Joey Montana - Suena El Dembow,63,7,8,,"1,177,721","31,729,086"
70,Manuel Turizo - Una Lady Como Tú,89,,11,,"909,831","31,259,553"
71,Callejeros - Creo,254,,95,,"237,944","31,187,382"
72,Neo Pistea - Tumbando el Club,41,12,2,(x1),"2,205,767","30,941,294"
73,Anuel Aa - Amanece,55,1,10,,"1,108,689","30,862,487"
74,Alex Rose - Toda - Remix,30,23,1,(x2),"1,508,160","30,859,075"
75,Shawn Mendes - Señorita,28,10,4,,"1,699,254","30,592,384"
76,J Balvin - Reggaeton,48,9,7,,"1,324,076","30,554,634"
77,WOS - CANGURO,21,12,3,(x4),"2,547,267","30,454,744"
78,Anuel Aa - Sola (Remix),68,,12,,"658,740","29,864,025"
79,J Balvin - Safari,71,18,3,(x1),"973,635","29,616,885"
80,Reik - Amigos Con Derechos,59,4,9,,"948,740","29,560,767"
81,Ozuna - Síguelo Bailando,63,2,10,,"1,002,185","29,514,296"
82,TINI - 22,35,2,9,,"1,174,014","29,424,675"
83,Ed Sheeran - Thinking out Loud,236,16,4,,"193,238","29,315,186"
84,"Sofia Reyes - 1, 2, 3",62,1,10,,"798,955","28,874,309"
85,Anitta - Downtown,59,8,6,,"1,303,263","28,768,331"
86,Sech - Que Mas Pues - Remix,38,,14,,"1,000,673","28,698,741"
87,Maluma - 11 PM,33,1,10,,"1,134,919","28,591,644"
88,Divididos - Spaghetti del Rock,188,,87,,"268,618","28,434,216"
89,Carlos Vives - La Bicicleta,92,20,2,(x3),"695,213","28,341,242"
90,J Balvin - LA CANCIÓN,27,6,7,,"1,408,064","28,309,301"
91,Anuel Aa - Ella Quiere Beber - Remix,61,,15,,"956,964","28,141,787"
92,Dalex - Cuaderno,34,8,8,,"1,247,569","28,030,420"
93,MC Kevinho - Olha a Explosão,60,6,9,,"845,859","27,773,084"
94,DJ Luian - Verte Ir,40,5,7,,"1,167,340","27,550,172"
95,TINI - Fresa,17,16,1,(x5),"1,953,982","27,426,217"
96,Camilo - Tutu,21,11,4,,"1,840,998","27,022,768"
97,Maluma - HP,44,8,7,,"1,261,150","26,856,955"
98,Intoxicados - Nunca quise,153,,68,,"260,313","26,702,706"
99,6ix9ine - BEBE,45,11,8,,"1,019,624","26,698,978"
100,Sech - Otro Trago - Remix,23,9,2,(x2),"2,187,891","26,641,075"
101,Khea - Loca,49,12,6,,"1,245,989","26,298,671"
102,Shakira - Perro Fiel,62,10,4,,"1,227,391","26,056,322"
103,Soda Stereo - Trátame Suavemente - Remasterizado 2007,214,,28,,"285,064","25,960,585"
104,Daddy Yankee - Shaky Shaky,77,13,1,(x5),"745,587","25,795,822"
105,Thalía - Desde Esa Noche,87,18,1,(x4),"590,894","25,770,214"
106,Wisin - Vacaciones,75,7,8,,"812,103","25,602,607"
107,Nicky Jam - Si Tú La Ves,66,,17,,"638,506","25,535,847"
108,Ed Sheeran - Perfect,131,,55,,"324,775","25,502,961"
109,Sebastian Yatra - No Hay Nadie Más,91,,20,,"541,178","25,217,718"
110,"Nicki Nicole - Nicki Nicole: Bzrp Music Sessions, Vol. 13",21,8,1,(x1),"3,051,587","25,104,533"
111,Romeo Santos - Bella y Sensual,57,,19,,"839,595","25,050,622"
112,IAmChino - Ay Mi Dios,83,,13,,"686,058","24,902,720"
113,Ozuna - Dile Que Tu Me Quieres,83,5,8,,"665,666","24,830,851"
114,Khea - Vete,56,,14,,"963,077","24,755,615"
