1,Ed Sheeran - Shape of You,156,24,1,(x14),"2,199,423","89,967,919"
2,Post Malone - rockstar,120,21,1,(x15),"2,205,117","79,690,557"
3,benny blanco - Eastside,77,28,1,(x3),"2,043,733","72,737,435"
4,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,63,29,1,(x3),"2,088,250","71,721,228"
5,The Chainsmokers - Closer,178,26,1,(x9),"1,980,538","71,665,799"
6,Post Malone - I Fall Apart,119,20,1,(x3),"1,503,418","70,371,475"
7,5 Seconds of Summer - Youngblood,90,19,1,(x6),"2,177,086","70,147,491"
8,Dean Lewis - Be Alright,79,18,1,(x5),"2,199,954","63,749,381"
9,Drake - God's Plan,101,18,1,(x11),"2,661,286","63,421,148"
10,James Arthur - Say You Won't Let Go,171,15,3,(x5),"1,070,067","63,018,532"
11,Kendrick Lamar - HUMBLE.,143,14,1,(x3),"1,580,240","62,807,430"
12,Post Malone - Better Now,88,13,1,(x2),"1,878,802","59,225,644"
13,Lauv - I Like Me Better,134,2,9,,"1,052,530","57,453,904"
14,Drake - One Dance,140,23,1,(x14),"1,622,729","57,059,095"
15,Khalid - Young Dumb & Broke,131,15,2,(x1),"1,302,046","56,789,809"
16,Tones and I - Dance Monkey,34,24,1,(x19),"2,502,380","55,878,210"
17,Marshmello - Happier,72,17,2,(x1),"1,485,251","54,144,039"
18,Imagine Dragons - Thunder,135,10,7,,"1,075,038","53,304,277"
19,Halsey - Without Me,65,21,1,(x2),"1,723,130","52,027,238"
20,Post Malone - Psycho,89,13,1,(x1),"2,409,247","51,383,514"
21,Billie Eilish - bad guy,40,16,1,(x6),"2,842,154","51,024,452"
22,Ed Sheeran - Perfect,144,2,7,,"1,070,186","50,886,503"
23,The Killers - Mr. Brightside,246,,54,,"378,892","50,437,755"
24,Vance Joy - Riptide,343,20,3,(x1),"290,276","50,419,730"
25,Billie Eilish - lovely,89,6,5,,"1,292,042","49,980,280"
26,Bebe Rexha - Meant to Be,119,6,7,,"1,077,922","48,941,518"
27,Post Malone - Congratulations,126,,15,,"815,341","48,435,697"
28,XXXTENTACION - Jocelyn Flores,122,2,7,,"1,160,260","47,978,256"
29,Camila Cabello - Havana,86,17,2,(x5),"1,536,637","47,746,980"
30,The Weeknd - Starboy,122,18,1,(x12),"1,395,095","47,693,621"
31,Travis Scott - SICKO MODE,74,15,7,,"1,313,456","47,652,771"
32,XXXTENTACION - SAD!,93,7,3,(x2),"1,564,210","47,624,863"
33,Juice WRLD - Lucid Dreams,85,10,6,,"1,302,218","47,215,968"
34,"Ariana Grande - thank u, next",61,16,1,(x7),"3,266,967","46,863,800"
35,Ed Sheeran - Thinking out Loud,246,25,1,(x5),"345,714","46,813,612"
36,George Ezra - Shotgun,76,14,3,(x1),"1,426,323","46,237,629"
37,Flume - Never Be Like You,133,15,1,(x3),"883,463","45,852,974"
38,Logic - 1-800-273-8255,112,11,1,(x1),"1,380,287","45,772,276"
39,Marshmello - Silence,90,17,3,(x1),"1,234,011","45,475,638"
40,Khalid - Better,68,17,4,,"1,455,142","45,451,909"
41,Ed Sheeran - Castle on the Hill,131,11,2,(x6),"1,533,982","45,159,131"
42,Dua Lipa - New Rules,79,20,2,(x1),"1,305,127","44,620,550"
43,Lewis Capaldi - Someone You Loved,49,23,4,,"1,491,441","44,325,140"
44,Maroon 5 - Girls Like You,81,12,3,(x4),"1,514,037","44,095,965"
45,Post Malone - Wow.,54,17,2,(x3),"1,812,251","43,190,885"
46,Lady Gaga - Shallow,65,8,5,,"1,369,306","43,107,898"
47,Tyga - Taste,84,6,5,,"1,365,171","42,675,464"
48,French Montana - Unforgettable,90,13,2,(x1),"1,213,945","40,922,981"
49,Anne-Marie - 2002,89,2,9,,"1,071,120","40,901,361"
50,Billie Eilish - when the party's over,64,8,2,(x1),"1,572,510","40,745,442"
51,Drake - In My Feelings,60,12,1,(x5),"3,176,425","39,844,811"
52,Hailee Steinfeld - Let Me Go,95,6,7,,"1,012,323","39,468,868"
53,Zedd - The Middle,98,9,6,,"1,254,822","39,438,455"
54,Luis Fonsi - Despacito - Remix,65,16,1,(x11),"1,813,371","39,289,685"
55,Ariana Grande - 7 rings,50,10,1,(x7),"3,031,760","38,718,155"
56,Ava Max - Sweet but Psycho,66,13,4,,"1,503,990","38,464,363"
57,Loud Luxury - Body,80,,12,,"919,943","38,195,151"
58,Shawn Mendes - Señorita,28,16,1,(x5),"2,293,562","38,162,746"
59,Drake - Nice For What,73,11,1,(x2),"1,812,199","38,071,334"
60,Khalid - Love Lies,63,16,3,(x1),"1,420,813","37,755,746"
61,Imagine Dragons - Believer,146,,34,,"514,652","37,726,925"
62,Hilltop Hoods - 1955,162,8,4,,"732,461","37,620,542"
63,NF - Let You Down,85,14,4,,"1,193,435","37,504,968"
64,Lil Nas X - Old Town Road - Remix,39,16,2,(x4),"1,867,530","37,476,548"
65,Ed Sheeran - I Don't Care,34,12,1,(x6),"2,473,011","37,306,400"
66,Panic! At The Disco - High Hopes,80,3,9,,"1,125,641","37,194,905"
67,Major Lazer - Cold Water,78,19,1,(x3),"1,683,148","36,951,682"
68,Portugal. The Man - Feel It Still,74,3,9,,"1,068,767","36,694,157"
69,Dominic Fike - 3 Nights,53,13,4,,"1,309,230","36,276,354"
