1,Bonez MC - 500 PS,74,21,2,(x6),"331,445","8,678,727"
2,Ed Sheeran - Shape of You,108,22,1,(x15),"249,500","7,660,085"
3,Dynoro - In My Mind,80,18,1,(x6),"285,785","7,264,698"
4,Post Malone - rockstar,110,22,1,(x4),"174,706","6,759,448"
5,Tones and I - Dance Monkey,23,19,1,(x10),"475,550","6,465,206"
6,Bausa - Was du Liebe nennst,102,22,1,(x12),"208,452","6,393,109"
7,Bonez MC - Ohne mein Team,172,,36,,"51,671","6,295,400"
8,Panic! At The Disco - High Hopes,79,13,4,,"172,672","6,045,696"
9,Billie Eilish - bad guy,40,20,2,(x2),"250,010","5,888,985"
10,Bonez MC - Kokain,68,9,1,(x5),"400,789","5,765,369"
11,Axwell /\ Ingrosso - More Than You Know,94,20,1,(x9),"168,190","5,692,001"
12,Ava Max - Sweet but Psycho,63,15,2,(x2),"218,424","5,661,021"
13,RAF Camora - Primo,108,3,5,,"101,860","5,519,855"
14,Apache 207 - Roller,19,19,1,(x2),"356,870","5,081,978"
15,Imagine Dragons - Thunder,90,18,1,(x4),"170,717","5,051,285"
16,Shawn Mendes - Señorita,28,13,1,(x4),"372,755","5,033,351"
17,Capital Bra - Neymar,69,11,1,(x4),"242,130","4,954,062"
18,Summer Cem - Casanova,73,11,2,(x2),"168,157","4,935,500"
19,Samra - Wieder Lila,33,11,1,(x4),"557,324","4,889,085"
20,Capital Bra - Benzema,53,9,1,(x3),"417,272","4,815,454"
21,Capital Bra - Tilidin,28,11,1,(x2),"693,631","4,705,266"
22,Dennis Lloyd - Nevermind,67,19,3,(x2),"162,231","4,694,210"
23,Capital Bra - Prinzessa,49,8,1,(x2),"381,998","4,683,888"
24,Marshmello - Happier,64,9,6,,"160,549","4,599,006"
25,Loud Luxury - Body,72,7,7,,"138,215","4,567,235"
26,Dean Lewis - Be Alright,75,3,9,,"123,256","4,539,455"
27,Imagine Dragons - Believer,104,4,8,,"101,861","4,462,486"
28,Camila Cabello - Havana,74,17,2,(x1),"151,438","4,441,374"
29,RIN - Dior 2001,71,6,4,,"176,599","4,430,318"
30,KitschKrieg - Standard,62,7,1,(x1),"209,533","4,410,936"
31,Post Malone - Better Now,71,8,2,(x1),"139,904","4,406,597"
32,Lewis Capaldi - Someone You Loved,52,,13,,"133,178","4,394,951"
33,Sido - Tausend Tattoos,61,10,5,,"163,039","4,327,791"
34,Ed Sheeran - I Don't Care,34,13,2,(x1),"312,240","4,212,302"
35,Alan Walker - Faded,88,19,1,(x13),"171,094","4,166,095"
36,Lady Gaga - Shallow,65,,11,,"118,803","4,120,412"
37,Capital Bra - Cherry Lady,40,7,1,(x2),"591,607","4,106,773"
38,Rudimental - These Days,66,14,1,(x3),"169,064","4,100,575"
39,Marshmello - Silence,74,15,5,,"111,577","4,079,543"
40,Capital Bra - Melodien,49,7,1,(x1),"368,060","3,980,781"
41,Lauv - I Like Me Better,86,13,4,,"104,102","3,977,381"
42,Marshmello - FRIENDS,58,15,1,(x4),"169,492","3,959,845"
43,Jonas Blue - Rise,57,10,3,(x2),"176,342","3,914,211"
44,MERO - Baller los,36,12,1,(x3),"322,493","3,911,709"
45,RAF Camora - Perfekt,58,4,1,(x1),"266,418","3,907,345"
46,The Chainsmokers - Closer,73,21,1,(x11),"139,471","3,892,854"
47,Martin Jensen - Solo Dance,86,12,6,,"105,972","3,846,119"
48,Lil Nas X - Old Town Road - Remix,39,9,7,,"174,349","3,838,281"
49,Mariah Carey - All I Want for Christmas Is You,40,16,1,(x4),"398,073","3,819,225"
50,KC Rebell - DNA,45,5,1,(x2),"310,366","3,817,420"
51,The Chainsmokers - Don't Let Me Down,85,17,2,(x2),"104,847","3,802,951"
52,Drake - One Dance,75,18,1,(x9),"133,173","3,742,472"
53,benny blanco - Eastside,63,,14,,"116,141","3,712,987"
54,Mathea - 2x,50,5,6,,"166,117","3,659,009"
55,The Chainsmokers - Something Just Like This,63,13,2,(x2),"143,839","3,632,024"
56,Anne-Marie - 2002,71,2,9,,"129,027","3,621,388"
57,Capital Bra - 110,15,12,1,(x1),"549,468","3,614,747"
58,Ed Sheeran - Perfect,87,8,4,,"120,032","3,608,519"
59,Clean Bandit - Solo,48,13,1,(x1),"172,182","3,590,390"
60,Juju - Vermissen,35,5,1,(x1),"270,617","3,582,249"
61,Wham! - Last Christmas,41,16,2,(x2),"388,348","3,526,475"
62,Major Lazer - Lean On,93,25,1,(x11),"93,754","3,436,825"
63,Robin Schulz - OK,56,14,1,(x2),"168,499","3,404,984"
64,Drake - God's Plan,51,14,1,(x2),"159,351","3,381,340"
65,Bonez MC - Risiko,47,9,1,(x1),"295,086","3,354,013"
66,XXXTENTACION - SAD!,65,4,4,,"154,708","3,347,596"
67,Capital Bra - One Night Stand,51,6,1,(x2),"294,066","3,295,070"
68,Twenty One Pilots - Stressed Out,75,15,2,(x9),"136,709","3,281,722"
69,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,61,,21,,"89,603","3,213,261"
70,Major Lazer - Light It Up,91,18,5,,"91,096","3,204,561"
71,French Montana - Unforgettable,59,9,6,,"111,182","3,193,589"
72,Capital Bra - Rolex,36,7,1,(x2),"415,776","3,168,570"
73,Sia - Cheap Thrills,77,14,2,(x1),"103,772","3,127,014"
74,Ed Sheeran - Beautiful People,27,8,6,,"182,708","3,125,279"
75,Maroon 5 - Girls Like You,45,,11,,"117,054","3,119,808"
76,Bausa - Mary,40,,17,,"123,984","3,116,230"
77,Dua Lipa - New Rules,59,9,5,,"99,769","3,113,807"
78,Billie Eilish - when the party's over,63,,27,,"95,181","3,065,755"
79,Capital Bra - Wir ticken,33,6,1,(x1),"466,741","3,061,932"
80,MERO - Wolke 10,31,5,1,(x1),"505,043","3,042,854"
81,Billie Eilish - lovely,81,,39,,"56,905","3,029,031"
82,Kygo - It Ain't Me,51,15,2,(x6),"149,720","3,017,915"
