1,Ed Sheeran - Shape of You,156,31,1,(x18),"435,375","19,140,531"
2,Lewis Capaldi - Someone You Loved,52,38,4,,"300,058","11,397,490"
3,Post Malone - rockstar,119,22,1,(x11),"259,647","11,078,419"
4,Tones and I - Dance Monkey,22,18,1,(x16),"777,083","10,809,250"
5,Calvin Harris - One Kiss,89,22,1,(x11),"375,930","10,623,806"
6,Billie Eilish - bad guy,40,24,1,(x3),"369,968","10,276,537"
7,Dynoro - In My Mind,78,23,1,(x9),"328,569","9,955,311"
8,Camila Cabello - Havana,110,21,2,(x4),"217,811","9,876,340"
9,Lady Gaga - Shallow,66,21,1,(x2),"291,991","9,831,050"
10,Dean Lewis - Be Alright,76,21,3,(x5),"232,923","9,456,455"
11,John Legend - All of Me,273,20,1,(x2),"77,964","9,350,251"
12,Ava Max - Sweet but Psycho,67,23,1,(x5),"265,567","9,335,270"
13,Drake - One Dance,123,27,1,(x14),"271,810","9,259,920"
14,Shawn Mendes - Señorita,28,22,1,(x11),"482,502","9,242,618"
15,Lil Nas X - Old Town Road - Remix,39,20,1,(x6),"420,417","9,238,417"
16,Drake - God's Plan,87,21,1,(x11),"313,103","9,159,447"
17,Dua Lipa - New Rules,98,21,1,(x3),"207,954","8,904,746"
18,XXXTENTACION - SAD!,95,9,1,(x1),"306,521","8,727,702"
19,5 Seconds of Summer - Youngblood,89,4,9,,"177,257","8,707,475"
20,Ed Sheeran - Perfect,142,14,2,(x1),"193,492","8,704,357"
21,Mabel - Don't Call Me Up,48,17,3,(x3),"293,257","8,660,278"
22,Marshmello - Happier,72,17,4,,"217,113","8,379,106"
23,Ed Sheeran - Thinking out Loud,201,19,2,(x1),"101,239","8,230,694"
24,Marco Borsato - Hoe Het Danst,33,19,2,(x8),"388,043","8,172,824"
25,Panic! At The Disco - High Hopes,78,13,2,(x2),"222,107","8,106,109"
26,Imagine Dragons - Believer,150,,21,,"124,822","8,089,596"
27,Ed Sheeran - I Don't Care,34,17,1,(x1),"392,183","8,015,130"
28,Macklemore & Ryan Lewis - Can't Hold Us,277,25,1,(x11),"113,471","7,918,474"
29,Major Lazer - Lean On,127,33,1,(x17),"194,863","7,857,101"
30,MEDUZA - Piece Of Your Heart,37,20,3,(x2),"347,715","7,816,940"
31,James Arthur - Say You Won't Let Go,155,16,6,,"138,616","7,738,809"
32,Aya Nakamura - Djadja,90,6,6,,"174,267","7,707,206"
33,Avicii - Wake Me Up,224,27,1,(x12),"188,429","7,688,970"
34,Alec Benjamin - Let Me Down Slowly,59,10,5,,"250,430","7,655,172"
35,The Chainsmokers - Closer,106,23,1,(x9),"227,848","7,550,740"
36,The Chainsmokers - Something Just Like This,95,15,2,(x1),"225,771","7,489,869"
37,Marshmello - FRIENDS,83,17,2,(x6),"221,268","7,485,577"
38,Ariana Grande - 7 rings,50,13,1,(x7),"418,383","7,409,885"
39,Angèle - Tout oublier,65,1,10,,"179,040","7,364,131"
40,Imagine Dragons - Thunder,105,2,10,,"157,105","7,342,168"
41,XXXTENTACION - Moonlight,94,4,3,(x1),"230,787","7,301,201"
42,Angèle - Balance ton quoi,65,4,7,,"228,720","7,195,211"
43,George Ezra - Shotgun,71,11,3,(x2),"220,892","6,977,005"
44,Rudimental - These Days,88,12,3,(x2),"186,944","6,945,673"
45,Juice WRLD - Lucid Dreams,85,1,9,,"236,672","6,907,922"
46,Post Malone - Better Now,78,7,5,,"188,988","6,899,542"
47,Calvin Harris - Giant,51,13,3,(x2),"257,005","6,818,660"
48,The Chainsmokers - Don't Let Me Down,91,23,3,(x2),"172,329","6,746,384"
49,Marshmello - Silence,81,17,4,,"184,315","6,720,741"
50,Dua Lipa - IDGAF,76,13,3,(x4),"191,009","6,709,710"
51,DJ Snake - Taki Taki,62,15,1,(x3),"257,459","6,647,076"
52,Billie Eilish - when the party's over,63,,12,,"174,062","6,567,611"
53,Hozier - Take Me To Church,150,29,1,(x13),"124,118","6,480,433"
54,Anne-Marie - 2002,87,,24,,"123,268","6,469,435"
55,Avicii - SOS,38,13,2,(x1),"328,690","6,469,045"
56,Daddy Yankee - Con Calma,44,11,6,,"248,077","6,447,245"
57,Calvin Harris - Promises,61,12,2,(x4),"247,058","6,438,834"
58,Clean Bandit - Solo,65,13,3,(x6),"219,296","6,397,993"
59,Maroon 5 - Girls Like You,66,12,6,,"179,313","6,352,698"
60,Aya Nakamura - Pookie,43,,13,,"194,025","6,328,840"
61,DJ Snake - Loco Contigo,29,15,3,(x5),"331,868","6,266,284"
62,Tom Walker - Leave a Light On,78,5,2,(x2),"197,975","6,150,667"
63,Mike Posner - I Took A Pill In Ibiza - Seeb Remix,83,22,1,(x3),"195,676","6,031,744"
64,Axwell /\ Ingrosso - More Than You Know,76,8,4,,"184,301","6,027,454"
65,Jonas Blue - Rise,66,9,5,,"201,969","6,006,268"
66,Halsey - Without Me,57,11,3,(x1),"211,674","5,996,468"
67,Jonas Brothers - Sucker,44,3,6,,"224,891","5,902,048"
68,Sia - Cheap Thrills,83,20,3,(x1),"176,904","5,867,432"
69,Adele - Hello,82,17,1,(x12),"309,064","5,832,791"
70,Toto - Africa,119,,63,,"72,727","5,814,373"
71,Justin Bieber - Love Yourself,101,19,1,(x1),"151,622","5,803,916"
72,Clean Bandit - Symphony,71,11,3,(x1),"206,741","5,764,070"
73,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,63,4,8,,"160,336","5,729,018"
74,Billie Eilish - lovely,88,,17,,"132,225","5,714,521"
75,Lukas Graham - 7 Years,87,18,1,(x10),"182,975","5,713,541"
76,benny blanco - Eastside,67,4,7,,"180,072","5,703,490"
77,Jonas Blue - Mama,68,14,3,(x4),"193,597","5,698,269"
78,French Montana - Unforgettable,80,2,9,,"155,941","5,695,933"
79,Billie Eilish - bury a friend,49,10,3,(x1),"255,567","5,687,474"
80,Major Lazer - Light It Up,82,20,3,(x1),"154,435","5,681,756"
81,Lil' Kleine - Krantenwijk,66,12,4,,"182,857","5,674,976"
82,"Justin Timberlake - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",80,14,2,(x2),"189,869","5,592,554"
83,Zedd - The Middle,70,13,5,,"175,771","5,567,029"
84,Lil Nas X - Old Town Road,41,10,1,(x1),"349,803","5,544,023"
85,Ariana Grande - no tears left to cry,60,9,2,(x2),"240,846","5,501,031"
86,Luis Fonsi - Despacito (Featuring Daddy Yankee),85,1,10,,"161,748","5,482,791"
87,Passenger - Let Her Go,226,,12,,"43,386","5,420,810"
88,Alan Walker - Faded,86,16,2,(x4),"165,949","5,343,111"
89,Lauv - I Like Me Better,99,4,4,,"163,874","5,331,755"
90,Luis Fonsi - Despacito - Remix,47,17,1,(x9),"291,441","5,327,651"
91,Loud Luxury - Body,78,,13,,"155,516","5,294,653"
92,Portugal. The Man - Feel It Still,90,,15,,"126,859","5,244,902"
93,Dimitri Vegas & Like Mike - Instagram,26,13,4,,"286,501","5,239,433"
94,Post Malone - Wow.,49,11,5,,"207,965","5,238,732"
95,Starley - Call On Me - Ryan Riback Extended Remix,70,14,5,,"169,875","5,226,683"
96,Kendrick Lamar - HUMBLE.,79,6,2,(x1),"209,735","5,216,433"
97,Y2K - Lalala,27,11,2,(x3),"318,366","5,215,830"
98,Selena Gomez - Wolves,62,16,2,(x2),"200,447","5,163,459"
99,Clean Bandit - Rockabye,71,14,2,(x2),"167,941","5,124,119"
100,Kygo - It Ain't Me,58,15,2,(x5),"237,175","5,122,431"
101,Mark Ronson - Uptown Funk,111,22,1,(x6),"134,685","5,103,433"
102,Ed Sheeran - Beautiful People,27,5,8,,"241,121","5,086,614"
103,Jax Jones - You Don't Know Me,67,10,3,(x1),"200,670","5,046,635"
104,Mariah Carey - All I Want for Christmas Is You,41,14,1,(x6),"507,224","5,018,158"
105,DJ Snake - Let Me Love You,57,21,2,(x6),"202,881","5,006,896"
106,Sam Smith - Stay With Me,150,23,3,(x4),"86,720","4,960,881"
107,Lady Gaga - Always Remember Us This Way,56,,19,,"158,588","4,936,741"
108,Ed Sheeran - Photograph,164,,18,,"60,597","4,927,947"
109,Justin Bieber - Sorry,76,18,2,(x11),"171,478","4,927,902"
110,"Ariana Grande - thank u, next",44,13,1,(x3),"265,977","4,910,312"
111,Drake - In My Feelings,38,11,1,(x5),"353,795","4,888,753"
112,Shawn Mendes - There's Nothing Holdin' Me Back,62,3,4,,"208,502","4,868,880"
113,Ed Sheeran - Galway Girl,64,5,5,,"186,254","4,840,289"
114,Zara Larsson - Lush Life,88,16,5,,"105,284","4,836,088"
115,Lost Frequencies - Crazy,44,17,1,(x3),"210,250","4,775,068"
116,Oasis - Wonderwall - Remastered,154,,114,,"50,783","4,771,043"
117,Cardi B - I Like It,52,6,8,,"168,794","4,754,337"
118,Justin Bieber - What Do You Mean?,70,22,1,(x8),"158,336","4,747,809"
119,The Weeknd - Starboy,55,19,1,(x7),"200,824","4,731,690"
120,Suzan & Freek - Als Het Avond Is,41,,15,,"182,775","4,714,392"
121,Clean Bandit - Rather Be,130,17,1,(x9),"127,179","4,708,677"
122,Lil Tecca - Ransom,30,8,5,,"268,427","4,678,513"
123,Dennis Lloyd - Nevermind,57,4,6,,"173,809","4,667,136"
124,Julia Michaels - Issues,71,3,8,,"164,667","4,625,747"
125,A$AP Rocky - Praise The Lord (Da Shine),75,,23,,"125,849","4,612,665"
126,Avicii - Without You,79,1,8,,"171,971","4,612,154"
127,Fifth Harmony - Work from Home,68,16,2,(x2),"179,198","4,592,276"
128,Frenna - Verleden Tijd,48,11,2,(x1),"260,608","4,585,967"
129,Jason Derulo - Swalla,58,9,4,,"203,177","4,575,125"
130,J Balvin - Mi Gente,57,11,1,(x2),"220,441","4,559,741"
131,Sam Smith - Too Good At Goodbyes,74,5,3,(x1),"192,926","4,555,115"
132,Regi - Ellie,43,9,7,,"173,683","4,530,518"
133,Calvin Harris - This Is What You Came For,56,16,2,(x8),"197,005","4,472,547"
134,Boef - Habiba,53,10,2,(x1),"220,809","4,454,164"
135,Sia - Chandelier,128,20,2,(x8),"96,839","4,447,841"
136,Jonas Blue - Fast Car,65,13,4,,"155,578","4,422,004"
137,Tiësto - Jackie Chan,46,8,4,,"209,703","4,421,030"
138,XXXTENTACION - Jocelyn Flores,87,2,6,,"185,747","4,416,358"
139,Major Lazer - Cold Water,48,17,1,(x5),"216,111","4,408,280"
140,NF - Let You Down,60,10,6,,"172,003","4,407,612"
141,Charlie Puth - Attention,58,,13,,"149,402","4,389,331"
142,ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),64,11,2,(x1),"200,655","4,373,553"
143,Lil Uzi Vert - XO TOUR Llif3,80,,31,,"104,140","4,352,496"
144,Lilly Wood and The Prick - Prayer in C - Robin Schulz Radio Edit,111,21,1,(x10),"118,234","4,336,071"
145,Martin Garrix - In the Name of Love,60,12,4,,"170,010","4,317,172"
