1,Danny Ocean - Me Rehúso,160,48,1,(x2),"59,154","4,762,881"
2,Mau y Ricky - Desconocidos,64,30,1,(x1),"111,575","4,305,687"
3,Piso 21 - Déjala que vuelva,115,33,1,(x16),"84,849","4,133,367"
4,Paulo Londra - Adan y Eva,61,22,1,(x9),"130,906","3,600,218"
5,Ed Sheeran - Shape of You,156,31,2,(x1),"62,411","3,592,949"
6,Zion & Lennox - Otra vez,173,36,1,(x10),"45,551","3,431,534"
7,Sebastian Yatra - Por Perro,92,27,2,(x7),"73,729","3,358,376"
8,Sech - Otro Trago,37,18,1,(x13),"187,635","3,290,518"
9,Becky G - Cuando Te Besé,74,24,1,(x3),"88,644","3,213,849"
10,Pedro Capó - Calma - Remix,64,20,1,(x1),"113,460","3,180,418"
11,Bad Bunny - Callaita,31,29,2,(x7),"135,055","3,009,633"
12,Ozuna - Vaina Loca,79,27,1,(x7),"80,861","3,000,263"
13,Dalex - Pa Mí - Remix,47,20,2,(x6),"116,617","2,995,182"
14,Anuel Aa - Secreto,51,18,1,(x5),"132,069","2,875,342"
15,Piso 21 - Te Vi,55,17,4,,"98,817","2,862,770"
16,Daddy Yankee - Con Calma,49,20,1,(x5),"129,708","2,842,982"
17,Bad Bunny - MIA,65,19,1,(x5),"153,359","2,830,180"
18,Nio Garcia - Te Boté - Remix,77,22,1,(x11),"97,501","2,784,245"
19,Sebastian Yatra - Ya No Tiene Novio,73,19,5,,"69,084","2,762,075"
20,J Balvin - LA CANCIÓN,27,27,2,(x3),"127,411","2,750,705"
21,Anuel Aa - China,24,24,1,(x8),"188,591","2,733,011"
22,Piso 21 - Puntos Suspensivos,86,6,9,,"54,692","2,677,802"
23,J Balvin - No Es Justo,86,17,1,(x1),"75,667","2,636,334"
24,Manuel Turizo - Una Lady Como Tú,125,20,2,(x6),"59,194","2,632,262"
25,Maluma - Felices los 4,99,23,1,(x11),"99,864","2,630,146"
26,Maluma - HP,44,16,1,(x2),"114,455","2,606,097"
27,Sebastian Yatra - Traicionera,173,24,3,(x1),"35,280","2,604,064"
28,Becky G - Sin Pijama,89,18,2,(x2),"69,105","2,585,768"
29,Maluma - 11 PM,33,23,4,,"99,200","2,502,963"
30,Piso 21 - Te Amo,94,16,3,(x1),"66,844","2,498,906"
31,Reik - Me Niego,87,24,2,(x5),"75,915","2,495,719"
32,Lunay - Soltera - Remix,30,20,2,(x3),"124,205","2,427,841"
33,Wisin - Escápate Conmigo,107,25,4,,"49,425","2,422,442"
34,Reik - Amigos Con Derechos,70,16,3,(x2),"74,491","2,389,615"
35,Anuel Aa - Ella Quiere Beber - Remix,61,10,7,,"63,158","2,367,198"
36,Paulo Londra - Tal Vez,40,15,2,(x1),"105,992","2,321,677"
37,Jhay Cortez - No Me Conoce - Remix,33,26,4,,"93,824","2,310,073"
38,Karol G - Créeme,61,7,8,,"63,298","2,301,213"
39,DJ Snake - Taki Taki,54,18,1,(x1),"109,652","2,233,701"
40,Carlos Vives - Robarte un Beso,111,12,3,(x2),"48,693","2,227,246"
41,Luis Fonsi - Despacito (Featuring Daddy Yankee),71,21,1,(x13),"130,162","2,217,239"
42,Natti Natasha - Criminal,87,19,2,(x2),"66,451","2,202,170"
43,Zion & Lennox - La Player (Bandolera),88,14,6,,"48,155","2,186,845"
44,Sebastian Yatra - Un Año,50,9,8,,"75,377","2,171,040"
45,Danny Ocean - Dembow,81,15,5,,"62,888","2,117,050"
46,CNCO - Reggaetón Lento (Bailemos),115,26,1,(x7),"54,669","2,115,261"
47,Maluma - Corazón,70,21,2,(x8),"77,941","2,087,512"
48,Nicky Jam - X,63,18,1,(x8),"117,527","2,069,077"
49,Anuel Aa - Amanece,55,4,8,,"71,747","2,046,163"
50,Joey Montana - Suena El Dembow,84,18,1,(x1),"57,886","1,999,615"
51,DJ Luian - Verte Ir,40,11,7,,"78,377","1,970,364"
52,Imagine Dragons - Believer,152,,49,,"20,199","1,942,225"
53,Sech - Que Mas Pues - Remix,38,10,9,,"71,927","1,937,631"
54,Sebastian Yatra - No Hay Nadie Más,101,,19,,"30,345","1,899,780"
55,ROSALÍA - Con Altura,40,,13,,"62,999","1,875,972"
56,Wolfine - Bella,72,17,2,(x5),"80,230","1,875,080"
57,Piso 21 - Me Llamas,120,8,9,,"31,151","1,874,144"
58,Maluma - Mala Mía,58,13,3,(x1),"72,035","1,866,775"
59,CNCO - Hey DJ,91,18,3,(x4),"49,609","1,841,541"
60,Becky G - Mayores,79,20,1,(x1),"56,681","1,822,655"
61,Bad Bunny - Sensualidad,65,18,4,,"64,507","1,810,049"
62,Camilo - Tutu,21,14,1,(x1),"190,987","1,785,618"
63,Alex Sensation - Que Va,74,16,3,(x1),"54,797","1,773,958"
64,Luis Fonsi - Imposible,62,4,7,,"62,535","1,772,298"
65,Luis Fonsi - Échame La Culpa,68,17,2,(x3),"76,020","1,767,975"
66,DJ Snake - Let Me Love You,123,24,1,(x1),"33,370","1,740,410"
67,Manuel Turizo - Esperándote,78,5,4,,"58,592","1,739,877"
68,Queen - Bohemian Rhapsody - Remastered 2011,158,,13,,"50,614","1,715,156"
69,"Sofia Reyes - 1, 2, 3",72,3,9,,"42,911","1,710,836"
70,Nicky Jam - Te Robaré,41,,11,,"61,797","1,694,911"
71,Piso 21 - Pa' Olvidarme De Ella,17,17,1,(x7),"124,053","1,682,278"
72,Shawn Mendes - Señorita,28,8,5,,"87,468","1,640,784"
73,Piso 21 - Besándote,86,9,8,,"34,542","1,625,666"
74,Sech - Otro Trago - Remix,23,10,2,(x2),"171,428","1,619,936"
75,Daddy Yankee - Adictiva,59,,12,,"57,970","1,605,325"
76,Nicky Jam - El Amante,73,20,3,(x3),"54,046","1,605,122"
77,Anuel Aa - Sola (Remix),105,,14,,"26,411","1,602,947"
78,J Balvin - QUE PRETENDES,27,12,8,,"76,556","1,594,319"
79,Manuel Turizo - Culpables,75,7,6,,"55,280","1,591,587"
80,Manuel Turizo - Sola,60,,18,,"46,509","1,577,403"
81,Kenny Man - Ni Gucci Ni Prada,70,,19,,"36,142","1,570,335"
82,Ozuna - Se Preparó,76,11,6,,"49,525","1,569,568"
83,6ix9ine - BEBE,48,10,6,,"58,719","1,557,164"
84,IAmChino - Ay Mi Dios,107,18,5,,"30,634","1,553,705"
