1,Ed Sheeran - Shape of You,152,30,1,(x10),"3,022,085","169,657,089"
2,Jorge & Mateus - Propaganda - Ao Vivo,84,30,2,(x7),"3,711,953","152,424,654"
3,Felipe Araújo - Atrasadinha - Ao Vivo,67,27,1,(x12),"5,517,626","151,166,209"
4,Zé Neto & Cristiano - Notificação Preferida - Ao Vivo,81,10,2,(x1),"4,435,453","147,534,298"
5,1Kilo - Deixe Me Ir - Acústico,130,23,1,(x1),"2,079,043","145,646,535"
6,João Gustavo e Murilo - Lençol Dobrado,61,32,2,(x5),"3,603,458","140,933,372"
7,Marília Mendonça - Ciumeira - Ao Vivo,71,20,1,(x6),"4,251,408","137,472,532"
8,Zé Neto & Cristiano - Largado Às Traças - Ao Vivo,84,26,1,(x3),"3,292,979","136,249,061"
9,Alok - Hear Me Now,135,37,1,(x5),"2,249,431","135,469,698"
10,Melim - Meu Abrigo,84,10,3,(x1),"2,660,952","128,665,639"
11,Marília Mendonça - Bebi Liguei - Ao Vivo,55,26,2,(x1),"3,648,192","126,470,850"
12,Lauana Prado - Cobaia,73,5,6,,"2,655,906","121,824,903"
13,Anitta - Vai malandra,62,16,1,(x10),"9,437,510","119,033,637"
14,Matheus & Kauan - Ao Vivo E A Cores,59,23,1,(x12),"4,246,087","117,892,805"
15,Melim - Ouvi Dizer,76,,13,,"2,500,109","105,990,762"
16,Henrique & Juliano - Vidinha de Balada - Ao Vivo,87,23,5,,"1,950,171","103,734,648"
17,Henrique & Diego - Raspão - Ao Vivo,89,18,6,,"2,121,901","101,334,017"
18,Matheus & Kauan - Vou Ter Que Superar - Ao Vivo,41,21,2,(x1),"3,196,888","100,593,082"
19,Imagine Dragons - Believer,152,,39,,"1,005,047","100,179,915"
20,Jorge & Mateus - Tijolão - Ao Vivo,32,27,1,(x1),"3,725,408","99,522,767"
21,Vitor Kley - O Sol,89,2,9,,"2,525,944","98,794,223"
22,Atitude 67 - Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo,93,,15,,"1,802,454","98,638,038"
23,Márcia Fellipe - Quem Me Dera,54,19,4,,"3,989,150","98,387,819"
24,Marília Mendonça - Todo Mundo Vai Sofrer - Ao Vivo,33,18,1,(x13),"4,296,638","97,639,744"
25,MC's Jhowzinho & Kadinho - Agora Vai Sentar,76,18,1,(x3),"3,412,841","97,023,425"
26,MC L da Vinte - Parado no Bailão,55,17,1,(x2),"4,439,458","96,576,902"
27,Gustavo Mioto - Solteiro Não Trai - Ao Vivo,56,10,8,,"2,459,757","95,758,375"
28,Gusttavo Lima - Cem Mil - Ao Vivo,62,14,1,(x1),"3,436,758","95,000,536"
29,Gustavo Mioto - Anti-Amor - Ao Vivo,79,10,7,,"2,489,299","94,681,478"
30,Simone & Simaria - Regime Fechado - Ao Vivo,93,2,9,,"2,170,571","93,763,776"
31,Gustavo Mioto - Coladinha em Mim - Ao Vivo,61,7,8,,"2,325,266","92,720,664"
32,Wesley Safadão - Só Pra Castigar,53,16,4,,"3,865,219","92,653,218"
33,MC WM - Fuleragem,53,13,4,,"3,277,400","92,614,861"
34,Gusttavo Lima - Apelido Carinhoso,63,13,2,(x1),"2,542,544","91,785,910"
35,MC Kekel - Amor de Verdade,51,18,1,(x1),"3,478,990","91,620,865"
36,Pk - Quando a vontade bater (Participação especial de PK Delas),42,15,8,,"3,082,874","91,141,800"
37,MC Kevinho - Ta Tum Tum,53,14,1,(x5),"3,391,566","90,886,761"
38,Mc Livinho - Fazer Falta,61,29,1,(x1),"2,705,761","90,204,946"
39,ANAVITÓRIA - Trevo (Tu),147,,25,,"1,066,639","90,060,371"
40,MC Kevin o Chris - Medley da Gaiola - Dennis DJ Remix,58,12,4,,"3,219,011","89,127,018"
41,Mc Livinho - Hoje Eu Vou Parar Na Gaiola,60,7,5,,"3,407,649","89,096,174"
42,Lagum - Deixa,82,,28,,"1,529,398","88,720,530"
43,Felipe Araújo - Amor Da Sua Cama,67,4,7,,"2,128,405","88,415,421"
44,Wesley Safadão - Romance Com Safadeza,46,21,4,,"3,386,024","88,393,351"
