1,Post Malone - rockstar,120,35,1,(x17),"27,853","1,317,511"
2,Ed Sheeran - Shape of You,148,25,1,(x14),"48,766","1,249,762"
3,Ariana Grande - 7 rings,50,17,1,(x5),"75,291","909,243"
4,The Weeknd - Starboy,147,23,1,(x13),"28,485","893,878"
5,Kendrick Lamar - HUMBLE.,144,12,1,(x4),"24,012","866,795"
6,Imagine Dragons - Believer,152,2,9,,"10,395","860,495"
7,Billie Eilish - bad guy,40,37,1,(x7),"49,404","849,865"
8,Travis Scott - SICKO MODE,74,25,2,(x1),"24,584","816,568"
9,Shawn Mendes - Señorita,28,24,1,(x13),"63,070","775,162"
10,Halsey - Without Me,65,22,1,(x3),"23,074","745,710"
11,Drake - One Dance,125,27,1,(x14),"21,819","734,342"
12,Imagine Dragons - Thunder,131,2,6,,"11,589","712,410"
13,Dua Lipa - New Rules,100,25,1,(x3),"16,907","696,384"
14,Lil Nas X - Old Town Road - Remix,39,26,2,(x7),"28,022","685,292"
15,Camila Cabello - Havana,94,26,2,(x4),"18,237","684,994"
16,XXXTENTACION - SAD!,96,6,1,(x2),"18,971","678,738"
17,French Montana - Unforgettable,121,20,3,(x4),"15,926","665,810"
18,Post Malone - Better Now,88,7,2,(x2),"19,963","661,456"
19,Tyga - Taste,85,12,2,(x1),"18,925","647,696"
20,Cardi B - I Like It,83,18,1,(x1),"17,549","639,809"
21,Eminem - 'Till I Collapse,203,,63,,"5,204","639,502"
22,Drake - God's Plan,78,17,1,(x7),"22,361","632,631"
23,Itzo Hazarta - Bravo,45,13,2,(x1),"33,651","629,109"
24,Lady Gaga - Shallow,66,17,4,,"21,838","627,210"
25,Travis Scott - goosebumps,156,,50,,"7,305","611,422"
26,"Ariana Grande - break up with your girlfriend, i'm bored",47,9,1,(x2),"73,270","598,604"
27,Drake - Nonstop,78,7,1,(x2),"29,093","590,784"
28,Billie Eilish - lovely,89,,19,,"9,159","576,318"
29,Lil Uzi Vert - XO TOUR Llif3,112,,11,,"9,920","576,052"
30,Arctic Monkeys - Do I Wanna Know?,259,4,10,,"4,657","569,940"
31,Ariana Grande - no tears left to cry,80,9,1,(x3),"31,236","564,444"
32,A$AP Rocky - Praise The Lord (Da Shine),84,3,2,(x1),"13,685","555,360"
33,"Ariana Grande - thank u, next",61,14,1,(x6),"24,501","538,495"
34,Juice WRLD - Lucid Dreams,84,3,9,,"19,139","537,455"
35,benny blanco - Eastside,76,1,9,,"12,011","531,856"
36,Ariana Grande - God is a woman,70,9,1,(x2),"34,779","531,676"
