1,Ed Sheeran - Shape of You,156,34,1,(x14),"64,217,796","2,371,940,948"
2,Post Malone - rockstar,120,27,1,(x17),"46,995,997","1,770,803,769"
3,The Chainsmokers - Closer,166,28,1,(x11),"46,300,740","1,618,552,651"
4,Drake - One Dance,129,26,1,(x14),"47,782,311","1,555,622,901"
5,Drake - God's Plan,94,21,1,(x11),"54,891,573","1,399,869,624"
6,Camila Cabello - Havana,114,25,1,(x1),"33,129,706","1,305,095,150"
7,Ed Sheeran - Perfect,147,15,4,,"24,763,619","1,286,253,454"
8,James Arthur - Say You Won't Let Go,170,15,7,,"19,297,939","1,272,275,545"
9,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,63,31,1,(x2),"34,579,416","1,259,788,034"
10,Ed Sheeran - Thinking out Loud,235,22,1,(x2),"12,966,533","1,230,229,886"
11,Imagine Dragons - Believer,152,,16,,"16,864,827","1,227,107,923"
12,Imagine Dragons - Thunder,136,3,8,,"21,076,623","1,169,427,630"
13,Dua Lipa - New Rules,104,23,2,(x3),"26,215,788","1,159,764,804"
14,XXXTENTACION - SAD!,96,12,1,(x2),"38,010,231","1,156,214,449"
15,Ed Sheeran - Photograph,249,,15,,"8,088,843","1,154,369,732"
16,The Chainsmokers - Something Just Like This,128,12,2,(x2),"33,173,199","1,107,504,301"
17,Post Malone - Better Now,88,11,1,(x6),"40,788,286","1,105,954,301"
18,Shawn Mendes - Señorita,28,23,1,(x14),"67,237,638","1,104,340,171"
19,Luis Fonsi - Despacito - Remix,64,19,1,(x14),"54,729,818","1,092,396,262"
20,Billie Eilish - bad guy,40,24,1,(x6),"50,342,324","1,072,582,834"
21,Marshmello - Happier,72,22,2,(x1),"28,685,390","1,057,038,479"
22,Juice WRLD - Lucid Dreams,86,15,3,(x1),"27,389,019","1,039,235,162"
23,Lil Uzi Vert - XO TOUR Llif3,111,2,10,,"19,373,632","1,030,645,895"
24,Maroon 5 - Girls Like You,83,14,2,(x1),"29,296,811","999,573,253"
25,Post Malone - Congratulations,128,,20,,"15,632,229","990,710,095"
26,Ariana Grande - 7 rings,50,16,1,(x10),"71,467,874","986,743,847"
27,Kendrick Lamar - HUMBLE.,95,12,1,(x1),"41,269,524","985,684,392"
28,"Ariana Grande - thank u, next",61,17,1,(x8),"59,975,503","980,051,930"
29,Lady Gaga - Shallow,66,12,3,(x2),"31,597,226","970,502,244"
30,Justin Bieber - Love Yourself,108,22,1,(x3),"28,218,558","967,608,716"
31,XXXTENTACION - Jocelyn Flores,122,2,7,,"25,442,646","963,701,928"
32,The Weeknd - Starboy,84,21,1,(x6),"35,360,281","952,641,510"
33,Justin Bieber - Sorry,92,21,1,(x8),"34,283,993","945,730,140"
34,The Chainsmokers - Don't Let Me Down,93,22,3,(x2),"20,867,984","937,382,310"
35,Major Lazer - Lean On,120,33,1,(x10),"18,924,031","916,566,107"
36,Post Malone - Psycho,80,14,2,(x6),"45,142,484","911,952,857"
37,Cardi B - I Like It,74,14,2,(x1),"27,369,377","908,062,879"
38,Travis Scott - SICKO MODE,74,20,2,(x1),"33,399,542","904,046,278"
39,Mike Posner - I Took A Pill In Ibiza - Seeb Remix,99,22,2,(x3),"23,018,299","891,175,647"
40,Halsey - Without Me,65,16,4,,"27,576,694","890,980,476"
41,DJ Snake - Taki Taki,60,18,1,(x4),"40,931,264","886,618,598"
