1,Ed Sheeran - Shape of You,151,20,1,(x8),"9,270,670","188,512,563"
2,Drake - One Dance,145,23,1,(x14),"5,751,303","154,155,514"
3,Post Malone - rockstar,118,21,1,(x10),"4,136,615","133,601,445"
4,The Killers - Mr. Brightside,267,,37,,"980,451","126,055,761"
5,Lewis Capaldi - Someone You Loved,53,40,1,(x4),"4,128,542","125,445,303"
6,Drake - God's Plan,87,20,1,(x11),"5,252,452","118,388,635"
7,French Montana - Unforgettable,115,22,2,(x4),"3,510,524","116,476,005"
8,James Arthur - Say You Won't Let Go,162,17,1,(x5),"3,806,301","114,996,996"
9,George Ezra - Shotgun,93,16,1,(x1),"3,933,993","113,781,590"
10,Ed Sheeran - Castle on the Hill,109,14,2,(x7),"7,685,694","110,293,492"
11,Dua Lipa - New Rules,97,20,1,(x4),"3,310,473","108,525,424"
12,Luis Fonsi - Despacito - Remix,72,19,1,(x8),"5,921,141","105,976,929"
13,Calvin Harris - One Kiss,77,18,1,(x11),"5,758,177","102,271,303"
14,Ed Sheeran - Thinking out Loud,195,24,1,(x7),"1,508,528","101,688,322"
15,Justin Bieber - Sorry,99,20,1,(x2),"4,046,752","96,347,535"
16,Justin Bieber - Love Yourself,100,20,1,(x9),"4,092,855","92,055,226"
17,The Chainsmokers - Closer,85,19,1,(x5),"4,198,660","91,829,029"
18,Drake - Nice For What,73,15,1,(x1),"5,189,984","91,819,326"
19,Ed Sheeran - Perfect,127,6,5,,"4,778,544","91,372,002"
20,Camila Cabello - Havana,79,20,2,(x6),"2,964,283","91,053,656"
21,Post Malone - Better Now,84,11,2,(x1),"3,376,138","89,082,157"
22,benny blanco - Eastside,76,12,1,(x1),"3,385,389","87,323,839"
23,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,63,13,3,(x1),"2,334,687","86,390,195"
24,Keala Settle - This Is Me,95,8,5,,"2,044,779","83,936,014"
25,Ed Sheeran - Galway Girl,71,11,1,(x6),"7,385,003","83,334,335"
26,Vance Joy - Riptide,251,4,7,,"545,992","82,186,561"
27,Juice WRLD - Lucid Dreams,85,7,6,,"2,319,541","81,462,117"
28,Rudimental - These Days,84,11,2,(x1),"2,800,512","80,575,419"
29,Anne-Marie - 2002,85,8,3,(x1),"2,971,915","80,244,831"
30,Mike Posner - I Took A Pill In Ibiza - Seeb Remix,98,18,1,(x4),"2,876,529","79,863,630"
31,"Ariana Grande - thank u, next",59,14,1,(x6),"6,320,632","79,754,783"
32,Justin Bieber - What Do You Mean?,85,24,1,(x8),"2,673,855","79,586,832"
33,Billie Eilish - bad guy,40,15,1,(x3),"3,907,218","79,003,099"
34,Drake - In My Feelings,57,14,1,(x6),"5,911,999","77,014,189"
