1,Post Malone - rockstar,120,26,1,(x18),"19,553,820","630,384,514"
2,Lil Uzi Vert - XO TOUR Llif3,144,30,2,(x6),"11,030,276","579,433,732"
3,Drake - God's Plan,87,19,1,(x10),"28,708,450","538,343,915"
4,Kendrick Lamar - HUMBLE.,125,21,1,(x9),"23,993,465","537,745,139"
5,Post Malone - Congratulations,154,18,5,,"8,381,773","519,557,033"
6,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,63,45,1,(x6),"14,731,867","499,697,495"
7,Juice WRLD - Lucid Dreams,87,26,1,(x1),"13,963,947","492,603,327"
8,XXXTENTACION - SAD!,96,19,1,(x2),"15,024,019","491,349,239"
9,Drake - One Dance,108,26,1,(x15),"18,322,096","456,343,099"
10,Post Malone - I Fall Apart,122,20,2,(x2),"8,350,785","442,661,554"
11,Travis Scott - goosebumps,171,,16,,"5,119,632","436,502,935"
12,Travis Scott - SICKO MODE,74,27,1,(x3),"19,657,392","432,786,841"
13,XXXTENTACION - Jocelyn Flores,123,9,3,(x1),"9,353,667","417,060,768"
14,Post Malone - Better Now,88,10,1,(x2),"21,229,827","408,535,923"
15,The Chainsmokers - Closer,99,23,1,(x10),"16,639,814","404,877,134"
16,Post Malone - Psycho,87,15,2,(x4),"22,727,218","402,664,727"
17,Khalid - Location,138,4,9,,"6,535,694","400,860,501"
18,XXXTENTACION - Moonlight,94,8,3,(x2),"11,929,608","380,717,845"
19,J. Cole - No Role Modelz,214,,16,,"2,891,389","356,804,643"
20,XXXTENTACION - Fuck Love,122,1,8,,"7,224,825","353,824,580"
21,Offset - Ric Flair Drip (& Metro Boomin),104,13,4,,"6,705,486","352,197,828"
22,Ed Sheeran - Shape of You,87,14,1,(x7),"14,504,837","351,265,970"
23,Khalid - Young Dumb & Broke,125,11,6,,"6,982,370","346,548,251"
24,Cardi B - I Like It,78,12,3,(x1),"10,820,717","330,204,410"
25,Lil Baby - Drip Too Hard (Lil Baby & Gunna),65,18,1,(x1),"11,011,445","330,198,021"
26,Logic - 1-800-273-8255,84,16,1,(x1),"10,649,945","327,010,962"
27,BlocBoy JB - Look Alive,71,13,3,(x4),"11,870,280","320,052,344"
28,Post Malone - Wow.,54,17,2,(x3),"13,236,038","319,276,010"
29,Drake - Nice For What,67,12,1,(x5),"19,830,250","318,391,757"
30,Bebe Rexha - Meant to Be,111,,16,,"5,209,637","316,257,917"
31,"Ariana Grande - thank u, next",60,15,1,(x6),"23,636,303","315,239,279"
32,The Weeknd - Starboy,81,20,1,(x5),"12,370,904","308,822,704"
33,Lil Baby - Yes Indeed,82,6,2,(x1),"11,493,709","301,761,584"
34,21 Savage - Bank Account,78,19,1,(x3),"8,527,436","299,200,185"
35,Post Malone - White Iverson,155,6,8,,"3,981,617","292,174,247"
36,Sheck Wes - Mo Bamba,60,16,1,(x1),"11,193,239","292,035,762"
37,Drake - In My Feelings,50,12,1,(x5),"30,747,676","292,002,601"
38,Meek Mill - Going Bad,57,17,2,(x1),"11,603,462","290,923,147"
39,French Montana - Unforgettable,71,20,1,(x1),"8,827,933","290,186,775"
40,Ariana Grande - 7 rings,50,10,1,(x4),"28,151,388","289,099,002"
41,Post Malone - Candy Paint,102,7,4,,"10,274,908","288,719,364"
42,Marshmello - Happier,72,3,8,,"7,970,081","288,411,111"
43,Drake - Nonstop,68,10,1,(x1),"24,972,971","288,067,951"
44,DRAM - Broccoli,91,21,3,(x2),"7,051,683","285,753,758"
45,Halsey - Without Me,64,15,5,,"9,065,617","284,969,145"
46,J. Cole - MIDDLE CHILD,50,14,1,(x2),"20,663,232","283,266,731"
47,benny blanco - Eastside,76,3,10,,"7,329,140","279,245,993"
48,Drake - Fake Love,75,19,1,(x2),"9,047,529","278,735,132"
49,Billie Eilish - lovely,89,,24,,"5,083,158","277,391,482"
50,Travis Scott - BUTTERFLY EFFECT,95,3,9,,"6,614,930","273,806,691"
51,Tyga - Taste,69,8,4,,"9,777,479","273,674,925"
52,Future - Mask Off,61,17,2,(x4),"12,239,919","272,306,510"
53,Billie Eilish - bad guy,40,15,1,(x3),"18,516,701","272,027,952"
54,Imagine Dragons - Believer,108,,11,,"5,705,757","269,938,050"
55,Luis Fonsi - Despacito - Remix,49,18,1,(x8),"13,732,000","266,222,913"
56,Kendrick Lamar - LOVE. FEAT. ZACARI.,77,4,5,,"11,927,530","265,981,724"
57,Kodak Black - ZEZE,58,15,1,(x2),"16,742,039","263,855,362"
58,KYLE - iSpy,72,15,2,(x1),"8,744,283","263,661,009"
59,Migos - Bad and Boujee,70,13,1,(x4),"11,466,629","263,266,876"
60,Imagine Dragons - Thunder,105,,21,,"4,563,437","262,834,043"
61,Juice WRLD - All Girls Are The Same,88,,13,,"6,052,811","259,530,983"
62,James Arthur - Say You Won't Let Go,114,,15,,"4,427,557","258,191,634"
63,Lauv - I Like Me Better,127,,30,,"3,863,541","255,860,433"
64,Childish Gambino - Redbone,88,6,8,,"6,340,789","254,484,886"
65,The Chainsmokers - Don't Let Me Down,81,21,5,,"6,277,406","254,275,071"
66,Khalid - Better,67,2,9,,"8,512,173","251,337,520"
